1A,Sov Mil Order of Malta
GN,Northern Ireland
GP,Guernsey
GS,Scotland
GT,Isle of Man
GU,Guernsey
GW,Wales
GZ,Shetland Islands
GZ,Scotland
G,England
HJ0M,Malpelo Island
HK0M,Malpelo Island
H40,Temotu Province
HB0,Liechtenstein
HC8,Galapagos Islands
HD8,Galapagos Islands
HE0,Liechtenstein
HJ0,San Andres & Providencia
HK0,San Andres & Providencia
H2,Cyprus
H3,Panama
H4,Solomon Islands
H5,South Africa
H6,Nicaragua
H7,Nicaragua
H8,Panama
H9,Panama
HA,Hungary
HB,Switzerland
HC,Ecuador
HD,Ecuador
HE,Switzerland
HF,Poland
HG,Hungary
HH,Haiti
HI,Dominican Republic
HJ,Colombia
HK,Colombia
HL,Republic of Korea
HN,Iraq
HO,Panama
HP,Panama
HQ,Honduras
HR,Honduras
HS,Thailand
HT,Nicaragua
HU,El Salvador
HV,Vatican City
HW,France
HX,France
HY,France
HZ,Saudi Arabia
IW0U,Sardinia
IW0V,Sardinia
IW0W,Sardinia
IW0X,Sardinia
IW0Y,Sardinia
IW0Z,Sardinia
IB9,Sicily
ID9,Sicily
IE9,Sicily
IF9,Sicily
IG9,African Italy
IH9,African Italy
II9,Sicily
IJ9,Sicily
IM0,Sardinia
IO9,Sicily
IQ9,Sicily
IR9,Sicily
IT9,Sicily
IU9,Sicily
IW9,Sicily
IY9,Sicily
IS,Sardinia
I,Italy
J45,Dodecanese
J49,Crete
JD1,Ogasawara
JT2,Mongolia
JT3,Mongolia
JU2,Mongolia
JU3,Mongolia
JV2,Mongolia
JV3,Mongolia
J2,Djibouti
J3,Grenada
J4,Greece
J5,Guinea-Bissau
J6,St. Lucia
J7,Dominica
J8,St. Vincent
JA,Japan
JE,Japan
JF,Japan
JG,Japan
JH,Japan
JI,Japan
JJ,Japan
JK,Japan
JL,Japan
JM,Japan
JN,Japan
JO,Japan
JP,Japan
JQ,Japan
JR,Japan
JS,Japan
JT,Mongolia
JU,Mongolia
JV,Mongolia
JW,Svalbard
JX,Jan Mayen
JY,Jordan
JZ,Indonesia
KH7K,Kure Island
KL9K,Republic of Korea
KG4,Guantanamo Bay
KH0,Mariana Islands
KH1,Baker & Howland Islands
KH2,Guam
KH3,Johnston Island
KH4,Midway Island
KH5,Palmyra & Jarvis Islands
KH6,Hawaii
KH7,Hawaii
KH8,American Samoa
KH9,Wake Island
KP1,Navassa Island
KP2,US Virgin Islands
KP3,Puerto Rico
KP4,Puerto Rico
KP5,Desecheo Island
KL,Alaska
K,United States
L20V,Argentina
L20W,Argentina
L20X,Argentina
L20Y,Argentina
L21V,Argentina
L21W,Argentina
L21X,Argentina
L21Y,Argentina
L22V,Argentina
L22W,Argentina
L22X,Argentina
L22Y,Argentina
L23V,Argentina
L23W,Argentina
L23X,Argentina
L23Y,Argentina
L24V,Argentina
L24W,Argentina
L24X,Argentina
L24Y,Argentina
L25V,Argentina
L25W,Argentina
L25X,Argentina
L25Y,Argentina
L26V,Argentina
L26W,Argentina
L26X,Argentina
L26Y,Argentina
L27V,Argentina
L27W,Argentina
L27X,Argentina
L27Y,Argentina
L28V,Argentina
L28W,Argentina
L28X,Argentina
L28Y,Argentina
L29V,Argentina
L29W,Argentina
L29X,Argentina
L29Y,Argentina
L30V,Argentina
L30W,Argentina
L30X,Argentina
L30Y,Argentina
L31V,Argentina
L31W,Argentina
L31X,Argentina
L31Y,Argentina
L32V,Argentina
L32W,Argentina
L32X,Argentina
L32Y,Argentina
L33V,Argentina
L33W,Argentina
L33X,Argentina
L33Y,Argentina
L34V,Argentina
L34W,Argentina
L34X,Argentina
L34Y,Argentina
L35V,Argentina
L35W,Argentina
L35X,Argentina
L35Y,Argentina
L36V,Argentina
L36W,Argentina
L36X,Argentina
L36Y,Argentina
L37V,Argentina
L37W,Argentina
L37X,Argentina
L37Y,Argentina
L38V,Argentina
L38W,Argentina
L38X,Argentina
L38Y,Argentina
L39V,Argentina
L39W,Argentina
L39X,Argentina
L39Y,Argentina
L40V,Argentina
L40W,Argentina
L40X,Argentina
L40Y,Argentina
L41V,Argentina
L41W,Argentina
L41X,Argentina
L41Y,Argentina
L42V,Argentina
L42W,Argentina
L42X,Argentina
L42Y,Argentina
L43V,Argentina
L43W,Argentina
L43X,Argentina
L43Y,Argentina
L44V,Argentina
L44W,Argentina
L44X,Argentina
L44Y,Argentina
L45V,Argentina
L45W,Argentina
L45X,Argentina
L45Y,Argentina
L46V,Argentina
L46W,Argentina
L46X,Argentina
L46Y,Argentina
L47V,Argentina
L47W,Argentina
L47X,Argentina
L47Y,Argentina
L48V,Argentina
L48W,Argentina
L48X,Argentina
L48Y,Argentina
L49V,Argentina
L49W,Argentina
L49X,Argentina
L49Y,Argentina
L50V,Argentina
L50W,Argentina
L50X,Argentina
L50Y,Argentina
L51V,Argentina
L51W,Argentina
L51X,Argentina
L51Y,Argentina
L52V,Argentina
L52W,Argentina
L52X,Argentina
L52Y,Argentina
L53V,Argentina
L53W,Argentina
L53X,Argentina
L53Y,Argentina
L54V,Argentina
L54W,Argentina
L54X,Argentina
L54Y,Argentina
L55V,Argentina
L55W,Argentina
L55X,Argentina
L55Y,Argentina
L56V,Argentina
L56W,Argentina
L56X,Argentina
L56Y,Argentina
L57V,Argentina
L57W,Argentina
L57X,Argentina
L57Y,Argentina
L58V,Argentina
L58W,Argentina
L58X,Argentina
L58Y,Argentina
L59V,Argentina
L59W,Argentina
L59X,Argentina
L59Y,Argentina
L60V,Argentina
L60W,Argentina
L60X,Argentina
L60Y,Argentina
L61V,Argentina
L61W,Argentina
L61X,Argentina
L61Y,Argentina
L62V,Argentina
L62W,Argentina
L62X,Argentina
L62Y,Argentina
L63V,Argentina
L63W,Argentina
L63X,Argentina
L63Y,Argentina
L64V,Argentina
L64W,Argentina
L64X,Argentina
L64Y,Argentina
L65V,Argentina
L65W,Argentina
L65X,Argentina
L65Y,Argentina
L66V,Argentina
L66W,Argentina
L66X,Argentina
L66Y,Argentina
L67V,Argentina
L67W,Argentina
L67X,Argentina
L67Y,Argentina
L68V,Argentina
L68W,Argentina
L68X,Argentina
L68Y,Argentina
L69V,Argentina
L69W,Argentina
L69X,Argentina
L69Y,Argentina
L70V,Argentina
L70W,Argentina
L70X,Argentina
L70Y,Argentina
L71V,Argentina
L71W,Argentina
L71X,Argentina
L71Y,Argentina
L72V,Argentina
L72W,Argentina
L72X,Argentina
L72Y,Argentina
L73V,Argentina
L73W,Argentina
L73X,Argentina
L73Y,Argentina
L74V,Argentina
L74W,Argentina
L74X,Argentina
L74Y,Argentina
L75V,Argentina
L75W,Argentina
L75X,Argentina
L75Y,Argentina
L76V,Argentina
L76W,Argentina
L76X,Argentina
L76Y,Argentina
L77V,Argentina
L77W,Argentina
L77X,Argentina
L77Y,Argentina
L78V,Argentina
L78W,Argentina
L78X,Argentina
L78Y,Argentina
L79V,Argentina
L79W,Argentina
L79X,Argentina
L79Y,Argentina
L80V,Argentina
L80W,Argentina
L80X,Argentina
L80Y,Argentina
L81V,Argentina
L81W,Argentina
L81X,Argentina
L81Y,Argentina
L82V,Argentina
L82W,Argentina
L82X,Argentina
L82Y,Argentina
L83V,Argentina
L83W,Argentina
L83X,Argentina
L83Y,Argentina
L84V,Argentina
L84W,Argentina
L84X,Argentina
L84Y,Argentina
L85V,Argentina
L85W,Argentina
L85X,Argentina
L85Y,Argentina
L86V,Argentina
L86W,Argentina
L86X,Argentina
L86Y,Argentina
L87V,Argentina
L87W,Argentina
L87X,Argentina
L87Y,Argentina
L88V,Argentina
L88W,Argentina
L88X,Argentina
L88Y,Argentina
L89V,Argentina
L89W,Argentina
L89X,Argentina
L89Y,Argentina
L90V,Argentina
L90W,Argentina
L90X,Argentina
L90Y,Argentina
L91V,Argentina
L91W,Argentina
L91X,Argentina
L91Y,Argentina
L92V,Argentina
L92W,Argentina
L92X,Argentina
L92Y,Argentina
L93V,Argentina
L93W,Argentina
L93X,Argentina
L93Y,Argentina
L94V,Argentina
L94W,Argentina
L94X,Argentina
L94Y,Argentina
L95V,Argentina
L95W,Argentina
L95X,Argentina
L95Y,Argentina
L96V,Argentina
L96W,Argentina
L96X,Argentina
L96Y,Argentina
L97V,Argentina
L97W,Argentina
L97X,Argentina
L97Y,Argentina
L98V,Argentina
L98W,Argentina
L98X,Argentina
L98Y,Argentina
L99V,Argentina
L99W,Argentina
L99X,Argentina
L99Y,Argentina
LO0V,Argentina
LO0W,Argentina
LO0X,Argentina
LO0Y,Argentina
LO1V,Argentina
LO1W,Argentina
LO1X,Argentina
LO1Y,Argentina
LO2V,Argentina
LO2W,Argentina
LO2X,Argentina
LO2Y,Argentina
LO3V,Argentina
LO3W,Argentina
LO3X,Argentina
LO3Y,Argentina
LO4V,Argentina
LO4W,Argentina
LO4X,Argentina
LO4Y,Argentina
LO5V,Argentina
LO5W,Argentina
LO5X,Argentina
LO5Y,Argentina
LO6V,Argentina
LO6W,Argentina
LO6X,Argentina
LO6Y,Argentina
LO7V,Argentina
LO7W,Argentina
LO7X,Argentina
LO7Y,Argentina
LO8V,Argentina
LO8W,Argentina
LO8X,Argentina
LO8Y,Argentina
LO9V,Argentina
LO9W,Argentina
LO9X,Argentina
LO9Y,Argentina
LP0V,Argentina
LP0W,Argentina
LP0X,Argentina
LP0Y,Argentina
LP1V,Argentina
LP1W,Argentina
LP1X,Argentina
LP1Y,Argentina
LP2V,Argentina
LP2W,Argentina
LP2X,Argentina
LP2Y,Argentina
LP3V,Argentina
LP3W,Argentina
LP3X,Argentina
LP3Y,Argentina
LP4V,Argentina
LP4W,Argentina
LP4X,Argentina
LP4Y,Argentina
LP5V,Argentina
LP5W,Argentina
LP5X,Argentina
LP5Y,Argentina
LP6V,Argentina
LP6W,Argentina
LP6X,Argentina
LP6Y,Argentina
LP7V,Argentina
LP7W,Argentina
LP7X,Argentina
LP7Y,Argentina
LP8V,Argentina
LP8W,Argentina
LP8X,Argentina
LP8Y,Argentina
LP9V,Argentina
LP9W,Argentina
LP9X,Argentina
LP9Y,Argentina
LQ0V,Argentina
LQ0W,Argentina
LQ0X,Argentina
LQ0Y,Argentina
LQ1V,Argentina
LQ1W,Argentina
LQ1X,Argentina
LQ1Y,Argentina
LQ2V,Argentina
LQ2W,Argentina
LQ2X,Argentina
LQ2Y,Argentina
LQ3V,Argentina
LQ3W,Argentina
LQ3X,Argentina
LQ3Y,Argentina
LQ4V,Argentina
LQ4W,Argentina
LQ4X,Argentina
LQ4Y,Argentina
LQ5V,Argentina
LQ5W,Argentina
LQ5X,Argentina
LQ5Y,Argentina
LQ6V,Argentina
LQ6W,Argentina
LQ6X,Argentina
LQ6Y,Argentina
LQ7V,Argentina
LQ7W,Argentina
LQ7X,Argentina
LQ7Y,Argentina
LQ8V,Argentina
LQ8W,Argentina
LQ8X,Argentina
LQ8Y,Argentina
LQ9V,Argentina
LQ9W,Argentina
LQ9X,Argentina
LQ9Y,Argentina
LR0V,Argentina
LR0W,Argentina
LR0X,Argentina
LR0Y,Argentina
LR1V,Argentina
LR1W,Argentina
LR1X,Argentina
LR1Y,Argentina
LR2V,Argentina
LR2W,Argentina
LR2X,Argentina
LR2Y,Argentina
LR3V,Argentina
LR3W,Argentina
LR3X,Argentina
LR3Y,Argentina
LR4V,Argentina
LR4W,Argentina
LR4X,Argentina
LR4Y,Argentina
LR5V,Argentina
LR5W,Argentina
LR5X,Argentina
LR5Y,Argentina
LR6V,Argentina
LR6W,Argentina
LR6X,Argentina
LR6Y,Argentina
LR7V,Argentina
LR7W,Argentina
LR7X,Argentina
LR7Y,Argentina
LR8V,Argentina
LR8W,Argentina
LR8X,Argentina
LR8Y,Argentina
LR9V,Argentina
LR9W,Argentina
LR9X,Argentina
LR9Y,Argentina
LS0V,Argentina
LS0W,Argentina
LS0X,Argentina
LS0Y,Argentina
LS1V,Argentina
LS1W,Argentina
LS1X,Argentina
LS1Y,Argentina
LS2V,Argentina
LS2W,Argentina
LS2X,Argentina
LS2Y,Argentina
LS3V,Argentina
LS3W,Argentina
LS3X,Argentina
LS3Y,Argentina
LS4V,Argentina
LS4W,Argentina
LS4X,Argentina
LS4Y,Argentina
LS5V,Argentina
LS5W,Argentina
LS5X,Argentina
LS5Y,Argentina
LS6V,Argentina
LS6W,Argentina
LS6X,Argentina
LS6Y,Argentina
LS7V,Argentina
LS7W,Argentina
LS7X,Argentina
LS7Y,Argentina
LS8V,Argentina
LS8W,Argentina
LS8X,Argentina
LS8Y,Argentina
LS9V,Argentina
LS9W,Argentina
LS9X,Argentina
LS9Y,Argentina
LT0V,Argentina
LT0W,Argentina
LT0X,Argentina
LT0Y,Argentina
LT1V,Argentina
LT1W,Argentina
LT1X,Argentina
LT1Y,Argentina
LT2V,Argentina
LT2W,Argentina
LT2X,Argentina
LT2Y,Argentina
LT3V,Argentina
LT3W,Argentina
LT3X,Argentina
LT3Y,Argentina
LT4V,Argentina
LT4W,Argentina
LT4X,Argentina
LT4Y,Argentina
LT5V,Argentina
LT5W,Argentina
LT5X,Argentina
LT5Y,Argentina
LT6V,Argentina
LT6W,Argentina
LT6X,Argentina
LT6Y,Argentina
LT7V,Argentina
LT7W,Argentina
LT7X,Argentina
LT7Y,Argentina
LT8V,Argentina
LT8W,Argentina
LT8X,Argentina
LT8Y,Argentina
LT9V,Argentina
LT9W,Argentina
LT9X,Argentina
LT9Y,Argentina
LU0V,Argentina
LU0W,Argentina
LU0X,Argentina
LU0Y,Argentina
LU1V,Argentina
LU1W,Argentina
LU1X,Argentina
LU1Y,Argentina
LU1Z,Antarctica
LU2V,Argentina
LU2W,Argentina
LU2X,Argentina
LU2Y,Argentina
LU2Z,Antarctica
LU3V,Argentina
LU3W,Argentina
LU3X,Argentina
LU3Y,Argentina
LU3Z,Antarctica
LU4V,Argentina
LU4W,Argentina
LU4X,Argentina
LU4Y,Argentina
LU4Z,Antarctica
LU5V,Argentina
LU5W,Argentina
LU5X,Argentina
LU5Y,Argentina
LU5Z,Antarctica
LU6V,Argentina
LU6W,Argentina
LU6X,Argentina
LU6Y,Argentina
LU6Z,Antarctica
LU7V,Argentina
LU7W,Argentina
LU7X,Argentina
LU7Y,Argentina
LU7Z,Antarctica
LU8V,Argentina
LU8W,Argentina
LU8X,Argentina
LU8Y,Argentina
LU8Z,Antarctica
LU9V,Argentina
LU9W,Argentina
LU9X,Argentina
LU9Y,Argentina
LU9Z,Antarctica
LV0V,Argentina
LV0W,Argentina
LV0X,Argentina
LV0Y,Argentina
LV1V,Argentina
LV1W,Argentina
LV1X,Argentina
LV1Y,Argentina
LV2V,Argentina
LV2W,Argentina
LV2X,Argentina
LV2Y,Argentina
LV3V,Argentina
LV3W,Argentina
LV3X,Argentina
LV3Y,Argentina
LV4V,Argentina
LV4W,Argentina
LV4X,Argentina
LV4Y,Argentina
LV5V,Argentina
LV5W,Argentina
LV5X,Argentina
LV5Y,Argentina
LV6V,Argentina
LV6W,Argentina
LV6X,Argentina
LV6Y,Argentina
LV7V,Argentina
LV7W,Argentina
LV7X,Argentina
LV7Y,Argentina
LV8V,Argentina
LV8W,Argentina
LV8X,Argentina
LV8Y,Argentina
LV9V,Argentina
LV9W,Argentina
LV9X,Argentina
LV9Y,Argentina
LW0V,Argentina
LW0W,Argentina
LW0X,Argentina
LW0Y,Argentina
LW1V,Argentina
LW1W,Argentina
LW1X,Argentina
LW1Y,Argentina
LW2V,Argentina
LW2W,Argentina
LW2X,Argentina
LW2Y,Argentina
LW3V,Argentina
LW3W,Argentina
LW3X,Argentina
LW3Y,Argentina
LW4V,Argentina
LW4W,Argentina
LW4X,Argentina
LW4Y,Argentina
LW5V,Argentina
LW5W,Argentina
LW5X,Argentina
LW5Y,Argentina
LW6V,Argentina
LW6W,Argentina
LW6X,Argentina
LW6Y,Argentina
LW7V,Argentina
LW7W,Argentina
LW7X,Argentina
LW7Y,Argentina
LW8V,Argentina
LW8W,Argentina
LW8X,Argentina
LW8Y,Argentina
LW9V,Argentina
LW9W,Argentina
LW9X,Argentina
LW9Y,Argentina
L1,Argentina
L2,Argentina
L3,Argentina
L4,Argentina
L5,Argentina
L6,Argentina
L7,Argentina
L8,Argentina
L9,Argentina
LA,Norway
LB,Norway
LC,Norway
LD,Norway
LE,Norway
LF,Norway
LG,Norway
LH,Norway
LI,Norway
LJ,Norway
LK,Norway
LL,Norway
LM,Norway
LN,Norway
LO,Argentina
LP,Argentina
LQ,Argentina
LR,Argentina
LS,Argentina
LT,Argentina
LU,Argentina
LV,Argentina
LW,Argentina
LX,Luxembourg
LY,Lithuania
LZ,Bulgaria
MA,Scotland
MC,Wales
MD,Isle of Man
MH,Jersey
MI,Northern Ireland
MJ,Jersey
MM,Scotland
MN,Northern Ireland
MP,Guernsey
MS,Scotland
MT,Isle of Man
MU,Guernsey
MW,Wales
MZ,Shetland Islands
MZ,Scotland
M,England
NH7K,Kure Island
NH0,Mariana Islands
NH1,Baker & Howland Islands
NH2,Guam
NH3,Johnston Island
NH4,Midway Island
NH5,Palmyra & Jarvis Islands
NH6,Hawaii
NH7,Hawaii
NH8,American Samoa
NH9,Wake Island
NLD,Kuwait
NP1,Navassa Island
NP2,US Virgin Islands
NP3,Puerto Rico
NP4,Puerto Rico
NP5,Desecheo Island
NL,Alaska
N,United States
OF0,Aland Islands
OG0,Aland Islands
OH0,Aland Islands
OI0,Aland Islands
OJ0,Market Reef
OA,Peru
OB,Peru
OC,Peru
OD,Lebanon
OE,Austria
OF,Finland
OG,Finland
OH,Finland
OI,Finland
OJ,Finland
OK,Czech Republic
OL,Czech Republic
OM,Slovak Republic
ON,Belgium
OO,Belgium
OP,Belgium
OQ,Belgium
OR,Belgium
OS,Belgium
OT,Belgium
OU,Denmark
OV,Denmark
OW,Faroe Islands
OX,Greenland
OY,Faroe Islands
OZ,Denmark
PP0ZF,Fernando de Noronha
PP0ZR,Fernando de Noronha
PP0ZS,St. Peter & St. Paul
PP0ZT,Trindade & Martim Vaz
PQ0ZF,Fernando de Noronha
PQ0ZR,Fernando de Noronha
PQ0ZS,St. Peter & St. Paul
PQ0ZT,Trindade & Martim Vaz
PR0ZF,Fernando de Noronha
PR0ZR,Fernando de Noronha
PR0ZS,St. Peter & St. Paul
PR0ZT,Trindade & Martim Vaz
PS0ZF,Fernando de Noronha
PS0ZR,Fernando de Noronha
PS0ZS,St. Peter & St. Paul
PS0ZT,Trindade & Martim Vaz
PT0ZF,Fernando de Noronha
PT0ZR,Fernando de Noronha
PT0ZS,St. Peter & St. Paul
PT0ZT,Trindade & Martim Vaz
PU0ZF,Fernando de Noronha
PU0ZR,Fernando de Noronha
PU0ZS,St. Peter & St. Paul
PU0ZT,Trindade & Martim Vaz
PV0ZF,Fernando de Noronha
PV0ZR,Fernando de Noronha
PV0ZS,St. Peter & St. Paul
PV0ZT,Trindade & Martim Vaz
PW0ZF,Fernando de Noronha
PW0ZR,Fernando de Noronha
PW0ZS,St. Peter & St. Paul
PW0ZT,Trindade & Martim Vaz
PX0ZF,Fernando de Noronha
PX0ZR,Fernando de Noronha
PX0ZS,St. Peter & St. Paul
PX0ZT,Trindade & Martim Vaz
PY0ZS,St. Peter & St. Paul
PY0ZT,Trindade & Martim Vaz
PP0F,Fernando de Noronha
PP0R,Fernando de Noronha
PP0S,St. Peter & St. Paul
PP0T,Trindade & Martim Vaz
PQ0F,Fernando de Noronha
PQ0R,Fernando de Noronha
PQ0S,St. Peter & St. Paul
PQ0T,Trindade & Martim Vaz
PR0F,Fernando de Noronha
PR0R,Fernando de Noronha
PR0S,St. Peter & St. Paul
PR0T,Trindade & Martim Vaz
PS0F,Fernando de Noronha
PS0R,Fernando de Noronha
PS0S,St. Peter & St. Paul
PS0T,Trindade & Martim Vaz
PT0F,Fernando de Noronha
PT0R,Fernando de Noronha
PT0S,St. Peter & St. Paul
PT0T,Trindade & Martim Vaz
PU0F,Fernando de Noronha
PU0R,Fernando de Noronha
PU0S,St. Peter & St. Paul
PU0T,Trindade & Martim Vaz
PV0F,Fernando de Noronha
PV0R,Fernando de Noronha
PV0S,St. Peter & St. Paul
PV0T,Trindade & Martim Vaz
PW0F,Fernando de Noronha
PW0R,Fernando de Noronha
PW0S,St. Peter & St. Paul
PW0T,Trindade & Martim Vaz
PX0F,Fernando de Noronha
PX0R,Fernando de Noronha
PX0S,St. Peter & St. Paul
PX0T,Trindade & Martim Vaz
PY0F,Fernando de Noronha
PY0R,Fernando de Noronha
PY0S,St. Peter & St. Paul
PY0T,Trindade & Martim Vaz
PY0Z,Fernando de Noronha
PJ2,Curacao
PJ4,Bonaire
PJ5,Saba & St. Eustatius
PJ6,Saba & St. Eustatius
PJ7,Sint Maarten
PP6,Brazil
PP7,Brazil
PP8,Brazil
PQ2,Brazil
PQ8,Brazil
PR7,Brazil
PR8,Brazil
PS7,Brazil
PS8,Brazil
PT2,Brazil
PT7,Brazil
PT8,Brazil
PV8,Brazil
PW8,Brazil
PY6,Brazil
PY7,Brazil
PY8,Brazil
PY9,Brazil
P2,Papua New Guinea
P3,Cyprus
P4,Aruba
P5,DPR of Korea
P6,DPR of Korea
P7,DPR of Korea
P8,DPR of Korea
P9,DPR of Korea
PA,Netherlands
PB,Netherlands
PC,Netherlands
PD,Netherlands
PE,Netherlands
PF,Netherlands
PG,Netherlands
PH,Netherlands
PI,Netherlands
PK,Indonesia
PL,Indonesia
PM,Indonesia
PN,Indonesia
PO,Indonesia
PP,Brazil
PQ,Brazil
PR,Brazil
PS,Brazil
PT,Brazil
PU,Brazil
PV,Brazil
PW,Brazil
PX,Brazil
PY,Brazil
PZ,Suriname
RI1AN,Antarctica
RI1FJ,Franz Josef Land
R110,Kaliningrad
RA0T,Asiatic Russia
RA1N,European Russia
RA1O,European Russia
RA1P,European Russia
RA1Z,European Russia
RA4H,European Russia
RA4I,European Russia
RA4W,European Russia
RA8F,European Russia
RA8G,European Russia
RA8H,Asiatic Russia
RA8I,Asiatic Russia
RA8O,Asiatic Russia
RA8P,Asiatic Russia
RA8S,Asiatic Russia
RA8T,Asiatic Russia
RA8U,Asiatic Russia
RA8V,Asiatic Russia
RA8W,Asiatic Russia
RA8X,European Russia
RA8Y,Asiatic Russia
RA8Z,Asiatic Russia
RA9F,European Russia
RA9G,European Russia
RA9I,Asiatic Russia
RA9M,Asiatic Russia
RA9P,Asiatic Russia
RA9S,Asiatic Russia
RA9T,Asiatic Russia
RA9V,Asiatic Russia
RA9W,Asiatic Russia
RA9X,European Russia
RC0T,Asiatic Russia
RC1N,European Russia
RC1O,European Russia
RC1P,European Russia
RC1Z,European Russia
RC2F,Kaliningrad
RC2K,Kaliningrad
RC4H,European Russia
RC4I,European Russia
RC4W,European Russia
RC8F,European Russia
RC8G,European Russia
RC8H,Asiatic Russia
RC8I,Asiatic Russia
RC8O,Asiatic Russia
RC8P,Asiatic Russia
RC8S,Asiatic Russia
RC8T,Asiatic Russia
RC8U,Asiatic Russia
RC8V,Asiatic Russia
RC8W,Asiatic Russia
RC8X,European Russia
RC8Y,Asiatic Russia
RC8Z,Asiatic Russia
RC9F,European Russia
RC9G,European Russia
RC9I,Asiatic Russia
RC9M,Asiatic Russia
RC9P,Asiatic Russia
RC9S,Asiatic Russia
RC9T,Asiatic Russia
RC9V,Asiatic Russia
RC9W,Asiatic Russia
RC9X,European Russia
RD0T,Asiatic Russia
RD1N,European Russia
RD1O,European Russia
RD1P,European Russia
RD1Z,European Russia
RD2F,Kaliningrad
RD2K,Kaliningrad
RD4H,European Russia
RD4I,European Russia
RD4W,European Russia
RD8F,European Russia
RD8G,European Russia
RD8H,Asiatic Russia
RD8I,Asiatic Russia
RD8O,Asiatic Russia
RD8P,Asiatic Russia
RD8S,Asiatic Russia
RD8T,Asiatic Russia
RD8U,Asiatic Russia
RD8V,Asiatic Russia
RD8W,Asiatic Russia
RD8X,European Russia
RD8Y,Asiatic Russia
RD8Z,Asiatic Russia
RD9F,European Russia
RD9G,European Russia
RD9I,Asiatic Russia
RD9M,Asiatic Russia
RD9P,Asiatic Russia
RD9S,Asiatic Russia
RD9T,Asiatic Russia
RD9V,Asiatic Russia
RD9W,Asiatic Russia
RD9X,European Russia
RE0T,Asiatic Russia
RE1N,European Russia
RE1O,European Russia
RE1P,European Russia
RE1Z,European Russia
RE2F,Kaliningrad
RE2K,Kaliningrad
RE4H,European Russia
RE4I,European Russia
RE4W,European Russia
RE8F,European Russia
RE8G,European Russia
RE8H,Asiatic Russia
RE8I,Asiatic Russia
RE8O,Asiatic Russia
RE8P,Asiatic Russia
RE8S,Asiatic Russia
RE8T,Asiatic Russia
RE8U,Asiatic Russia
RE8V,Asiatic Russia
RE8W,Asiatic Russia
RE8X,European Russia
RE8Y,Asiatic Russia
RE8Z,Asiatic Russia
RE9F,European Russia
RE9G,European Russia
RE9I,Asiatic Russia
RE9M,Asiatic Russia
RE9P,Asiatic Russia
RE9S,Asiatic Russia
RE9T,Asiatic Russia
RE9V,Asiatic Russia
RE9W,Asiatic Russia
RE9X,European Russia
RF0T,Asiatic Russia
RF1N,European Russia
RF1O,European Russia
RF1P,European Russia
RF1Z,European Russia
RF2F,Kaliningrad
RF2K,Kaliningrad
RF4H,European Russia
RF4I,European Russia
RF4W,European Russia
RF8F,European Russia
RF8G,European Russia
RF8H,Asiatic Russia
RF8I,Asiatic Russia
RF8O,Asiatic Russia
RF8P,Asiatic Russia
RF8S,Asiatic Russia
RF8T,Asiatic Russia
RF8U,Asiatic Russia
RF8V,Asiatic Russia
RF8W,Asiatic Russia
RF8X,European Russia
RF8Y,Asiatic Russia
RF8Z,Asiatic Russia
RF9F,European Russia
RF9G,European Russia
RF9I,Asiatic Russia
RF9M,Asiatic Russia
RF9P,Asiatic Russia
RF9S,Asiatic Russia
RF9T,Asiatic Russia
RF9V,Asiatic Russia
RF9W,Asiatic Russia
RF9X,European Russia
RG0T,Asiatic Russia
RG1N,European Russia
RG1O,European Russia
RG1P,European Russia
RG1Z,European Russia
RG2F,Kaliningrad
RG2K,Kaliningrad
RG4H,European Russia
RG4I,European Russia
RG4W,European Russia
RG8F,European Russia
RG8G,European Russia
RG8H,Asiatic Russia
RG8I,Asiatic Russia
RG8O,Asiatic Russia
RG8P,Asiatic Russia
RG8S,Asiatic Russia
RG8T,Asiatic Russia
RG8U,Asiatic Russia
RG8V,Asiatic Russia
RG8W,Asiatic Russia
RG8X,European Russia
RG8Y,Asiatic Russia
RG8Z,Asiatic Russia
RG9F,European Russia
RG9G,European Russia
RG9I,Asiatic Russia
RG9M,Asiatic Russia
RG9P,Asiatic Russia
RG9S,Asiatic Russia
RG9T,Asiatic Russia
RG9V,Asiatic Russia
RG9W,Asiatic Russia
RG9X,European Russia
RI0T,Asiatic Russia
RI1N,European Russia
RI1O,European Russia
RI1P,European Russia
RI1Z,European Russia
RI2F,Kaliningrad
RI2K,Kaliningrad
RI4H,European Russia
RI4I,European Russia
RI4W,European Russia
RI8F,European Russia
RI8G,European Russia
RI8H,Asiatic Russia
RI8I,Asiatic Russia
RI8O,Asiatic Russia
RI8P,Asiatic Russia
RI8S,Asiatic Russia
RI8T,Asiatic Russia
RI8U,Asiatic Russia
RI8V,Asiatic Russia
RI8W,Asiatic Russia
RI8X,European Russia
RI8Y,Asiatic Russia
RI8Z,Asiatic Russia
RI9F,European Russia
RI9G,European Russia
RI9I,Asiatic Russia
RI9M,Asiatic Russia
RI9P,Asiatic Russia
RI9S,Asiatic Russia
RI9T,Asiatic Russia
RI9V,Asiatic Russia
RI9W,Asiatic Russia
RI9X,European Russia
RJ0T,Asiatic Russia
RJ1N,European Russia
RJ1O,European Russia
RJ1P,European Russia
RJ1Z,European Russia
RJ2F,Kaliningrad
RJ2K,Kaliningrad
RJ4H,European Russia
RJ4I,European Russia
RJ4W,European Russia
RJ8F,European Russia
